COVID-19 Vaccinations in the United States
Date generated: Sat Mar 19 2022 12:01:42 GMT-0400 (Eastern Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1799005,254907,311472,1437842,203733,1341827,232318,677879,95,618874,95,509128,72.1,468865,81.2,1089625,639280,70100,0,36429,517269,883200,944,174422,295132,39136,438,174336,255031,39092,406,N/A,95,N/A,95,68.4,442327,76.6,677879,99096,95,79927,91.5,42367,34578,2867,115,251357,287782,2059700,651499,95,492771,80.8,174412,278814,39115,430,1401458,229840,295038,677682,95,509090,77.1,174416,295103,39133,438,1437629,217697,272419,181789,35.7,181738,36.9,176094,37.6,44997,56.3,76370,103985,1386,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6640010,N/A,N/A,7305548,N/A,6814941,N/A,4131254,N/A,3849630,N/A,3123071,N/A,2919095,N/A,4267070,2162940,210000,0,322450,2415782,4544519,22797,966454,1867575,288855,187,966206,1664086,288622,181,N/A,N/A,N/A,N/A,0,2631375,0,4131254,358266,0,191928,0,66976,115324,9627,1,576996,0,0,4060444,0,3083197,0,966428,1827756,288826,187,7194570,0,0,4131007,0,3123003,0,966435,1867547,288834,187,7305247,0,0,1775,0.1,1774,0.1,1770,0.1,60,0,547,1195,33,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2256555,231735,292986,1747804,179489,1590264,206476,800054,82.2,722911,93.9,663120,68.1,599861,77.9,1285455,873700,97400,0,61674,670214,1013794,2122,232630,373012,56794,684,232484,309979,56733,665,N/A,82.2,N/A,93.9,64.5,564521,73.3,800054,208997,95,178271,94.4,73527,94420,9976,348,511208,270615,1194540,772485,92,641978,76.4,232617,351897,56783,681,1698110,202202,268699,799885,87,663089,72.1,232619,372996,56790,684,1747610,190155,245533,293177,44.2,293106,45.7,282976,47.2,118374,66.4,126025,162055,5051,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,46189985,215060,267802,36389007,169427,33794904,195937,16843848,78.4,15492202,89.8,14234524,66.3,13137022,76.2,26756465,17084220,2349300,0,1464853,13425393,21363195,135566,4837719,8008131,1349900,38774,4835497,6915445,1348130,37950,N/A,78.4,N/A,89.8,61.6,12140810,70.4,16843848,4743986,95,4055947,90.2,1950356,1869996,214221,21374,11703561,260233,1027050,16443070,87.9,13927417,74.5,4836870,7702997,1349040,38510,35667792,190777,247058,16835523,82.8,14232763,70,4836976,8007966,1349084,38737,36379556,178875,227112,5537395,38.9,5536607,39.8,5424907,41.3,2446010,60.3,2384047,3044955,101868,6525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,152600,149140,228703,111644,109113,90174,135145,62155,60.7,48952,73.4,51618,50.4,43680,65.5,51360,88440,12800,0,13162,76367,22090,25,30970,8353,12282,13,30963,449,12255,13,N/A,60.7,N/A,73.4,40.7,33771,50.6,62155,3775,78.4,3495,72.6,2380,20,1094,1,7121,147984,3171240,55195,69.7,47744,60.3,30968,4489,12274,13,100696,127235,192818,62137,66.9,51614,55.6,30970,8353,12278,13,111626,120259,164402,9546,18.5,9534,20,9513,21.8,911,26.1,9087,98,361,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20899995,196846,257594,14496559,136536,13256492,163387,6870209,64.7,6206835,76.5,5736709,54,5224939,64.4,11936355,8141640,822000,0,337159,5628469,8491821,39110,2124260,3284048,316763,11638,2123184,2775133,316263,10359,N/A,64.7,N/A,76.5,51.9,4995143,61.6,6870209,1434060,94.5,1250838,82.5,681240,531759,35213,2626,3441133,226845,1377760,6666335,74.2,5592444,62.2,2124180,3140113,316624,11527,14137076,157287,232530,6868344,69,5736417,57.6,2124214,3283909,316662,11632,14494473,145514,209821,2046877,35.7,2046284,36.6,1993846,38.2,690204,55.2,910663,1110501,24186,1527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,320060,189959,279421,340065,201832,292204,255102,151953,90.2,127639,95,137305,81.5,117321,95,210680,85780,23600,0,13230,107163,219453,219,40168,86114,10936,87,40150,66158,10926,87,N/A,90.2,N/A,95,76.1,108296,94.5,151953,17418,95,16342,95,6678,9017,621,26,45067,280599,1992780,143435,95,131260,95,40167,80071,10935,87,325101,247572,243733,151922,95,137304,89.9,40167,86114,10936,87,340033,222591,209517,57333,41.8,57317,43.7,54242,46.2,11533,70.6,20570,35453,1310,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3340480,235931,299325,2828517,199772,2534728,227125,1228959,86.8,1083588,95,1099050,77.6,970716,87,1972960,1243120,124400,0,70668,1026771,1730784,294,362409,671684,64943,14,361522,544448,64732,14,N/A,86.8,N/A,95,74.8,931271,83.4,1228959,268988,95,245224,91.3,107531,125948,11741,4,696990,259637,1244370,1171220,95,1050103,86.7,362352,622823,64914,14,2723571,224882,275820,1227408,92.2,1098602,82.6,362361,671311,64916,14,2827198,212467,251041,550639,50.1,550545,52.4,527746,54.4,189951,77.5,245722,298862,6054,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6327855,200561,260595,4956102,157084,4528294,186485,2129554,67.5,1918933,79,1937264,61.4,1749573,72.1,3618435,2420620,288800,0,177400,1965863,2812312,527,710159,1064403,162336,366,709928,877051,162239,355,N/A,67.5,N/A,79,58.1,1644494,67.7,2129554,547035,95,509348,92.1,267641,227025,14549,133,1454762,263089,1144370,2052872,76.7,1870276,69.9,710141,997440,162331,364,4811238,179773,236442,2129397,72,1937253,65.5,710154,1064399,162334,366,4955947,167463,213820,1008972,52.1,1008855,53.9,981954,56.1,399813,78.5,460874,534321,13738,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3254390,182108,243071,2384638,133439,2184623,163170,1082522,60.6,979482,73.2,955066,53.4,865071,64.6,1833410,1264680,156300,0,87127,899281,1394809,3421,327584,546014,80672,796,327415,456279,80600,777,N/A,60.6,N/A,73.2,50.2,805553,60.2,1082522,274707,94.5,249710,85.9,114736,122428,12227,319,688400,236832,1119620,1048545,70.1,926177,61.9,327574,517162,80653,788,2323418,155370,217626,1082438,64.8,955022,57.2,327576,545994,80656,796,2384525,142712,194773,393547,41.2,393544,42.5,393357,45.5,166285,66.6,172799,214572,6085,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
